16:31:57.480 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
16:31:58.949 [main] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
16:32:43.087 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
16:32:44.600 [main] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
16:59:10.949 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
16:59:12.638 [main] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
16:59:26.890 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
16:59:28.387 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
16:59:33.709 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
16:59:49.075 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
16:59:50.568 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
16:59:57.029 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
17:00:06.024 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
17:00:07.410 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:00:11.822 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
17:00:25.067 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on home page
17:00:26.671 [main] INFO  com.petstore.stepDefinitions.PetDetails - Select the pet,Get the pet list and select the pet you like
17:00:30.680 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validating the product title, description, price, images, and availability.
17:00:33.055 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate pet added products to the cart.
17:00:42.087 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
17:00:43.784 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:00:47.535 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
17:00:51.768 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
17:00:56.184 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
17:01:07.076 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
17:01:08.529 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:01:12.570 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
17:01:16.541 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
17:01:20.012 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
17:01:29.425 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
17:01:30.832 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:01:34.655 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
17:01:38.634 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
17:01:42.988 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
17:01:53.056 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
17:01:54.427 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:01:57.886 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
17:02:01.735 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
17:02:06.580 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
17:02:15.030 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
17:02:16.414 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
17:02:19.867 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
17:02:23.661 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
17:02:27.229 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
17:02:41.830 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
17:02:43.285 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
17:02:46.858 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
17:02:59.590 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
17:03:01.289 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
17:03:05.039 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
17:03:16.356 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
17:03:17.774 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
17:03:20.951 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
17:03:32.698 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
17:03:34.081 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
17:03:37.660 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
17:03:48.735 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
17:03:50.186 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
17:03:53.253 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
17:04:04.141 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page to buy pet
17:04:05.517 [main] INFO  com.petstore.stepDefinitions.PetDetails - Open pet list
17:04:07.350 [main] INFO  com.petstore.stepDefinitions.PetDetails - add pets to cart
17:04:26.043 [main] INFO  com.petstore.stepDefinitions.PetDetails - remove and update quantities
17:04:29.881 [main] INFO  com.petstore.stepDefinitions.PetDetails - validate proceeding to checkout
18:55:09.139 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:09.635 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:11.667 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:39.459 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:55:41.039 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:55:44.718 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:55:46.736 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
18:55:47.734 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:13.794 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:16.683 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:56:19.635 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:44.923 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:45.744 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:48.482 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
